index,provider,model,prompt_tokens,cached_tokens,completion_tokens,total_tokens,elapsed_ms
1,deepseek,deepseek-chat,2090,1920,55,2145,3412.9
2,deepseek,deepseek-chat,2406,2176,79,2485,919.3
3,deepseek,deepseek-chat,2677,2432,259,2936,1963.9
4,deepseek,deepseek-chat,2088,1920,51,2139,649.3
5,deepseek,deepseek-chat,2379,2176,55,2434,758.0
6,deepseek,deepseek-chat,2537,2304,134,2671,1081.5
7,deepseek,deepseek-chat,2087,1920,101,2188,690.2
8,deepseek,deepseek-chat,2551,2304,229,2780,1900.8
9,deepseek,deepseek-chat,2085,1920,51,2136,804.6
10,deepseek,deepseek-chat,2518,2304,62,2580,871.8
11,deepseek,deepseek-chat,2723,2560,131,2854,1298.6
12,deepseek,deepseek-chat,2086,1920,53,2139,589.3
13,deepseek,deepseek-chat,2521,2304,62,2583,951.5
14,deepseek,deepseek-chat,2726,2560,229,2955,1688.1
15,deepseek,deepseek-chat,2087,1920,52,2139,1000.4
16,deepseek,deepseek-chat,2521,2048,62,2583,781.9
17,deepseek,deepseek-chat,2726,2560,187,2913,2011.6
18,deepseek,deepseek-chat,2090,1920,58,2148,816.9
19,deepseek,deepseek-chat,2386,2176,80,2466,1024.0
20,deepseek,deepseek-chat,2740,2432,368,3108,2338.9
21,deepseek,deepseek-chat,2091,1920,55,2146,934.8
22,deepseek,deepseek-chat,2407,2176,79,2486,625.1
23,deepseek,deepseek-chat,2762,2432,325,3087,2412.6
24,deepseek,deepseek-chat,2086,1920,51,2137,857.7
25,deepseek,deepseek-chat,2404,2176,55,2459,804.1
26,deepseek,deepseek-chat,2585,2432,176,2761,1454.1
27,deepseek,deepseek-chat,2087,1920,56,2143,1023.0
28,deepseek,deepseek-chat,2456,2304,55,2511,719.8
29,deepseek,deepseek-chat,2644,2432,159,2803,1479.7
30,deepseek,deepseek-chat,2088,1920,53,2141,1434.4
31,deepseek,deepseek-chat,2398,2176,56,2454,715.9
32,deepseek,deepseek-chat,2588,2432,188,2776,1727.8
33,deepseek,deepseek-chat,2092,1920,51,2143,747.5
34,deepseek,deepseek-chat,2513,2304,62,2575,889.7
35,deepseek,deepseek-chat,2716,2560,249,2965,1582.7
36,deepseek,deepseek-chat,2089,1920,53,2142,788.3
37,deepseek,deepseek-chat,2550,2304,57,2607,970.6
38,deepseek,deepseek-chat,2803,2560,287,3090,2447.9
39,deepseek,deepseek-chat,2089,1920,52,2141,851.8
40,deepseek,deepseek-chat,2501,2048,63,2564,941.8
41,deepseek,deepseek-chat,2798,2560,377,3175,2503.2
42,deepseek,deepseek-chat,2097,1920,58,2155,631.5
43,deepseek,deepseek-chat,2585,2048,141,2726,712.1
44,deepseek,deepseek-chat,3138,2688,314,3452,2043.8
45,deepseek,deepseek-chat,2094,1920,53,2147,1163.6
46,deepseek,deepseek-chat,2577,2432,141,2718,974.2
47,deepseek,deepseek-chat,3133,2688,401,3534,2449.5
48,deepseek,deepseek-chat,2087,1920,121,2208,1322.0
49,deepseek,deepseek-chat,2657,2304,225,2882,1798.7
50,deepseek,deepseek-chat,2087,1920,50,2137,846.2
51,deepseek,deepseek-chat,2398,2176,79,2477,807.3
52,deepseek,deepseek-chat,2597,2432,95,2692,1123.8
53,deepseek,deepseek-chat,2086,1920,53,2139,612.9
54,deepseek,deepseek-chat,2521,2304,62,2583,961.8
55,deepseek,deepseek-chat,2726,2560,275,3001,2376.8
56,deepseek,deepseek-chat,2087,1920,83,2170,748.3
57,deepseek,deepseek-chat,2690,2556,148,2838,970.7
58,deepseek,deepseek-chat,3223,2816,284,3507,1855.2
